Station,Date,Air Temperature [°C],Sunshine Duration [min],Wind Direction [°],Wind Speed [km/h],Gusts [km/h],Air Pressure [hPa]
Aadorf / Tänikon,2023-08-02 16:30,24.80,0.00,188.00,6.80,10.80,938.20
Acquarossa / Comprovasco,2023-08-02 16:30,22.40,0.00,206.00,9.40,21.60,940.70
Adelboden,2023-08-02 16:30,23.80,0.00,212.00,18.70,38.20,858.30
Aigle,2023-08-02 16:30,29.30,0.00,201.00,7.90,18.40,957.00
Altdorf,2023-08-02 16:30,28.30,0.00,149.00,29.20,45.00,948.90
Altenrhein,2023-08-02 16:30,25.10,0.00,34.00,9.00,12.60,953.30
Andeer,2023-08-02 16:30,22.50,8.00,168.00,21.60,35.30,895.20
Andermatt,2023-08-02 16:30,18.50,0.00,221.00,22.00,43.60,849.40
Arosa,2023-08-02 16:30,17.20,9.00,201.00,20.90,41.00,806.20
Bad Ragaz,2023-08-02 16:30,28.90,9.00,134.00,30.60,50.40,943.80
Basel / Binningen,2023-08-02 16:30,27.90,2.00,269.00,14.40,38.20,962.50
Bergün / Latsch,2023-08-02 16:30,22.40,6.00,183.00,8.30,19.10,-
Bern / Zollikofen,2023-08-02 16:30,27.00,3.00,230.00,28.80,59.40,937.80
Beznau,2023-08-02 16:30,28.90,0.00,244.00,14.00,35.60,961.00
Biasca,2023-08-02 16:30,23.80,0.00,156.00,23.80,39.20,973.30
Binn,2023-08-02 16:30,18.70,-,61.00,27.00,40.00,-
Bischofszell / Sitterdorf,2023-08-02 16:30,25.60,0.00,245.00,11.20,16.90,941.50
Bivio,2023-08-02 16:30,15.30,-,9.00,9.00,23.40,-
Bière,2023-08-02 16:30,23.10,0.00,233.00,34.20,49.70,926.50
"Blatten, Lötschental",2023-08-02 16:30,22.30,0.00,209.00,19.10,37.80,838.50
Boltigen,2023-08-02 16:30,26.30,0.00,229.00,30.20,52.90,910.00
Bouveret,2023-08-02 16:30,27.50,-,261.00,6.10,18.00,958.10
Buchs / Aarau,2023-08-02 16:30,28.80,9.00,243.00,22.70,47.50,954.70
Buffalora,2023-08-02 16:30,16.60,2.00,207.00,5.40,11.90,798.40
Bullet / La Frétaz,2023-08-02 16:30,18.20,4.00,216.00,28.80,54.70,871.60
Cevio,2023-08-02 16:30,22.00,0.00,6.00,5.80,14.00,958.30
Cham,2023-08-02 16:30,27.40,0.00,279.00,15.80,33.10,949.00
Chasseral,2023-08-02 16:30,16.80,2.00,213.00,64.10,87.50,831.30
Chaumont,2023-08-02 16:30,22.10,6.00,225.00,21.60,53.30,877.50
Chur,2023-08-02 16:30,28.40,0.00,208.00,13.70,28.10,938.20
Château-d'Oex,2023-08-02 16:30,23.60,0.00,319.00,24.10,38.20,889.10
Cimetta,2023-08-02 16:30,13.70,0.00,215.00,11.90,17.60,829.20
Col des Mosses,2023-08-02 16:30,21.10,-,193.00,27.40,43.90,-
Col du Grand St-Bernard,2023-08-02 16:30,14.60,3.00,270.00,36.70,77.80,751.00
Courtelary,2023-08-02 16:30,24.20,-,250.00,32.00,48.60,-
Crap Masegn,2023-08-02 16:30,10.50,1.00,226.00,28.10,34.90,749.80
Cressier,2023-08-02 16:30,27.10,-,236.00,42.80,64.10,951.40
Davos,2023-08-02 16:30,20.60,9.00,216.00,13.00,24.80,833.10
Delémont,2023-08-02 16:30,28.20,2.00,240.00,26.60,50.00,949.40
