Grid_longitude:,Grid_latitude:
9.649422,46.799461
9.50129,47.018917
9.050229,47.63612
8.455013,47.689743
7.371327,47.370136
9.085822,47.296383
9.179838,46.937069
8.765198,47.133381
8.572274,46.65107
8.161073,46.745213
7.124955,46.463669
7.137028,46.784187
6.975309,47.060234
7.773539,46.9384
7.58882,47.134762
7.832779,46.199253
7.79497,46.41861
9.132278,46.256676
10.029,46.399998
9.767824,46.439762
10.436772,46.619164
9.85391,46.799908
9.532012,46.859043
10.057914,46.319984
9.854669,46.519909
10.262847,46.779697
6.082442,46.412491
6.931566,46.798874
8.022544,46.542835
7.788751,47.278831
9.381377,47.238342
9.500168,47.138916
6.92872,46.338444
7.004483,46.540615
6.953628,47.439949
7.451719,46.311375
7.753597,46.017635
7.08828,47.143204
8.240743,46.986526
8.654159,46.872097
8.286116,46.487091
8.692229,46.512489
8.935361,45.974972
7.946919,47.001656
7.311007,46.228077
8.931829,46.154957
6.949417,46.999504
8.966773,45.835251
7.87172,46.680168
8.891497,46.714622
9.379276,47.418335
9.090614,47.016403
6.122919,46.253685
8.520605,47.470558
8.630039,46.67178
6.657145,46.510929
7.15552,45.884052
7.559382,46.493832
7.828776,46.299213
6.76753,47.094612
7.871547,47.420437
8.079863,47.384068
8.268139,47.046959
8.392125,46.828712
8.633752,47.671978
8.582457,47.371315
9.187433,46.437096
9.795313,46.839817
9.826008,46.399868
7.570591,47.534573
6.227318,46.417397
6.577498,46.848885
7.448636,46.991665
9.288196,47.59782
7.991993,47.362572
8.645052,47.232044
8.93437,47.495102
8.521163,47.450562
8.787045,46.173496
8.251104,47.56683
7.243494,46.986923
8.815032,46.213799
7.48996,46.112125
8.22077,47.586372
8.34232,46.547939
8.925493,46.474926
8.401701,47.488983
8.966684,47.355385
7.285977,46.727779
8.549095,46.43074
8.251765,47.546833
8.173321,46.385311
7.784808,45.958229
7.026547,46.140907
7.305133,46.928352
8.61977,47.07172
8.468947,47.209839
7.71692,47.57756
7.114446,47.203903
6.833702,46.475945
6.897454,46.377625
8.423732,46.749134
7.671196,46.596218
7.894725,47.580921
6.554681,46.748104
6.297806,46.659981
7.602624,46.174599
6.426227,46.483891
9.184412,46.637085
9.585726,47.479259
8.465487,47.329815
8.600392,46.691425
9.41765,46.618515
9.651502,46.479465
8.92629,46.434929
8.956836,46.355206
8.939977,47.21513
8.558877,47.150986
9.737848,46.639698
7.071299,46.382244
10.233034,46.639763
9.211764,46.757282
9.230083,47.517445
8.852089,47.194286
8.009247,46.902721
7.407473,46.630547
7.605886,46.75494
7.086242,46.642807
7.510941,46.912994
6.70908,46.61253
7.440015,47.17157
8.232143,47.24646
8.609706,46.331482
7.064419,47.042526
9.181063,46.857075
9.051125,45.936005
6.364145,46.541985
6.885937,46.577469
6.597813,46.989624
7.566754,46.97422
7.99878,47.182629
8.98976,47.695614
7.219212,46.325924
8.044383,46.743275
8.036338,46.963207
9.176761,47.137058
9.561942,46.77916
9.505181,46.598927
10.233816,46.819759
7.289133,46.087471
7.023258,46.200863
7.784808,45.958229
8.055969,46.423374
8.186903,46.84565
8.272022,46.926987
8.533892,46.990643
9.648241,46.979462
9.594457,46.339275
9.212818,48.677387
9.616748,47.279366
9.586507,47.379261
9.649552,46.779465
9.649422,46.799461
7.614352,48.535942
6.020607,47.251423
7.203721,46.065376
8.064569,46.183449
8.84481,46.174103
8.131911,46.74474
6.957386,46.859608
7.311007,46.228077
10.0,47.0
10.087911,46.959965
9.970602,47.159996
9.911895,47.079967
9.764598,47.17976
9.94105,47.259983
9.705294,47.259624
8.610919,47.411667
8.358015,46.988262
8.267489,47.066952
11.805179,48.346176
8.906562,45.974697
,
