Time,Channel A,Channel B
(s),(mV),(V)

0.00000000,11.07313000,0.00000000
0.13333334,11.34782000,-0.03174216
0.26666668,10.41997000,0.00000000
0.40000002,11.10975000,0.00976682
0.53333336,11.38445000,-0.01220852
0.66666670,10.41997000,0.01953363
0.80000004,10.82896000,0.00000000
0.93333338,11.41497000,0.00976682
1.06666672,10.55427000,0.00000000
1.20000006,10.96936000,0.00000000
1.33333340,11.34782000,-0.01220852
1.46666674,10.55427000,-0.01220852
1.60000008,10.82896000,0.00000000
1.73333342,11.41497000,0.00000000
1.86666676,10.34672000,0.00000000
2.00000010,10.86558000,0.00000000
2.13333344,11.55537000,-0.02197534
2.26666678,10.72519000,0.00976682
2.40000013,10.86558000,0.00000000
2.53333347,11.38445000,0.00000000
2.66666681,10.48712000,-0.02197534
2.80000015,10.96936000,-0.01220852
2.93333349,11.45159000,0.00000000
3.06666683,10.51764000,0.00000000
3.20000017,10.79844000,0.00000000
3.33333351,11.51874000,-0.01220852
3.46666685,10.55427000,-0.01220852
3.60000019,10.69466000,0.00000000
3.73333353,11.55537000,-0.01220852
3.86666687,10.59089000,0.00976682
4.00000021,10.76181000,-0.01220852
4.13333355,11.41497000,-0.01220852
4.26666689,10.55427000,-0.01220852
4.40000023,10.79844000,0.00000000
4.53333357,11.69576000,0.00000000
4.66666691,10.62141000,0.00000000
4.80000025,10.76181000,0.00976682
4.93333359,11.48822000,0.00976682
5.06666693,10.48712000,0.00000000
5.20000027,10.79844000,-0.01220852
5.33333361,11.41497000,0.00976682
5.46666695,10.59089000,-0.02197534
5.60000029,10.79844000,0.00976682
5.73333363,11.48822000,-0.01220852
5.86666697,10.59089000,-0.01220852
6.00000031,10.59089000,-0.01220852
6.13333365,11.45159000,0.00000000
6.26666699,10.45049000,-0.01220852
6.40000033,10.79844000,0.00976682
6.53333367,11.45159000,-0.02197534
6.66666701,10.72519000,0.00000000
6.80000035,10.76181000,0.00976682
6.93333369,11.38445000,-0.02197534
7.06666704,10.59089000,0.00000000
7.20000038,10.82896000,0.00000000
7.33333372,11.41497000,0.00976682
7.46666706,10.69466000,0.00976682
7.60000040,10.93273000,0.00000000
7.73333374,11.62251000,-0.01220852
7.86666708,10.51764000,-0.01220852
8.00000042,10.76181000,0.00000000
8.13333376,11.48822000,-0.02197534
8.26666710,10.59089000,-0.01220852
8.40000044,10.82896000,0.00976682
8.53333378,11.51874000,0.00976682
8.66666712,10.69466000,0.00000000
8.80000046,10.69466000,0.00000000
8.93333380,11.51874000,-0.01220852
9.06666714,10.48712000,0.00000000
9.20000048,10.79844000,0.01953363
9.33333382,11.45159000,0.00976682
9.46666716,10.51764000,-0.01220852
9.60000050,10.55427000,-0.01220852
9.73333384,11.55537000,0.00976682
